topic,arm,ok,words,refs,elapsed,llm_calls,prompt_tokens,completion_tokens,solve_events,descend_events,trunc_events,leaf_writes,duplicate_heading_count,cited_unique,refs_file_count,evidence_cards,leaf_evidence_count,invalid_against_leaf,invalid_against_ref
3D Gaussian Splatting,intact,True,1237,14,124.2,15,13518,3522,9,4,2,3,0,14,14,60,61,0,0
3D Gaussian Splatting,l_default,True,1633,13,157.7,22,17294,4618,15,6,3,4,0,13,13,60,13,0,0
3D Gaussian Splatting,r_pass,True,1847,22,159.9,19,21261,5255,9,6,3,4,0,24,22,60,113,0,2
3D Gaussian Splatting,o_rank_slab,True,827,13,39.9,3,2860,1452,3,2,1,2,0,13,13,60,15,0,0
3D Gaussian Splatting,no_recursion,True,781,14,71.0,9,8837,2200,5,2,1,2,0,17,14,60,63,0,3
Causal Representation Learning,intact,True,827,9,72.7,10,7296,2075,7,2,1,2,0,9,9,60,9,0,0
Causal Representation Learning,l_default,True,1259,20,107.5,13,11694,3390,7,4,2,3,0,20,20,60,67,0,0
Causal Representation Learning,r_pass,True,1168,12,115.0,16,11665,3162,11,4,2,3,0,12,12,60,12,0,0
Causal Representation Learning,o_rank_slab,True,799,13,36.7,3,2631,1348,3,2,1,2,0,13,13,60,15,0,0
Causal Representation Learning,no_recursion,True,914,13,75.1,9,8689,2256,5,2,1,2,0,13,13,60,60,0,0
Efficient Inference for Large Language Models,intact,True,795,9,71.9,10,7685,2114,7,2,1,2,0,9,9,60,9,0,0
Efficient Inference for Large Language Models,l_default,True,781,8,75.9,10,7049,1973,7,2,1,2,0,8,8,60,8,0,0
Efficient Inference for Large Language Models,r_pass,True,1248,13,104.1,13,12783,3101,7,4,2,3,0,13,13,60,62,0,0
Efficient Inference for Large Language Models,o_rank_slab,True,839,12,39.1,3,2995,1386,3,2,1,2,0,12,12,60,15,0,0
Efficient Inference for Large Language Models,no_recursion,True,849,8,74.1,9,8889,2205,5,2,1,2,0,8,8,60,62,0,0
Federated Learning,intact,True,1234,13,116.9,16,11579,3141,11,4,2,3,0,13,13,60,13,0,0
Federated Learning,l_default,True,1298,15,132.1,15,12523,3364,9,4,2,3,0,15,15,60,64,0,0
Federated Learning,r_pass,True,1292,16,130.6,16,17154,3823,9,4,2,3,0,16,16,60,157,0,0
Federated Learning,o_rank_slab,True,806,11,37.6,3,2847,1300,3,2,1,2,0,11,11,60,15,0,0
Federated Learning,no_recursion,True,879,17,75.5,9,7951,2196,5,2,1,2,0,17,17,60,64,0,0
Graph Neural Networks,intact,True,1193,14,104.1,14,10320,3181,9,4,2,3,0,14,14,60,15,0,0
Graph Neural Networks,l_default,True,783,10,63.9,9,7451,2024,6,2,1,2,0,10,10,60,10,0,0
Graph Neural Networks,r_pass,True,792,9,75.7,10,7045,2111,7,2,1,2,0,9,9,60,9,0,0
Graph Neural Networks,o_rank_slab,True,814,9,36.5,3,2328,1369,3,2,1,2,0,11,9,60,15,0,2
Graph Neural Networks,no_recursion,True,847,16,62.5,7,6986,2022,3,2,1,2,0,16,16,60,66,0,0
Multimodal Large Language Models,intact,True,835,8,70.4,10,7511,2260,7,2,1,2,0,8,8,60,8,0,0
Multimodal Large Language Models,l_default,True,840,10,87.2,10,8326,2164,7,2,1,2,0,10,10,60,10,0,0
Multimodal Large Language Models,r_pass,True,793,8,75.1,10,7576,1959,7,2,1,2,0,8,8,60,8,0,0
Multimodal Large Language Models,o_rank_slab,True,835,11,38.5,3,2877,1395,3,2,1,2,0,11,11,60,15,0,0
Multimodal Large Language Models,no_recursion,True,827,14,80.2,8,10495,2204,3,2,1,2,0,14,14,60,101,0,0
Neural Architecture Search,intact,True,783,8,69.5,10,6576,2003,7,2,1,2,0,8,8,60,8,0,0
Neural Architecture Search,l_default,True,1376,21,114.6,14,13277,3372,7,4,2,3,0,21,21,60,109,0,0
Neural Architecture Search,r_pass,True,1266,13,125.4,15,12046,3301,9,4,2,3,0,13,13,60,60,0,0
Neural Architecture Search,o_rank_slab,True,859,11,42.2,3,2484,1388,3,2,1,2,0,11,11,60,15,0,0
Neural Architecture Search,no_recursion,True,881,15,84.8,9,7490,2135,5,2,1,2,0,15,15,60,60,0,0
Retrieval-Augmented Generation for Large Language Models,intact,True,841,9,69.5,10,7781,2068,7,2,1,2,0,9,9,60,9,0,0
Retrieval-Augmented Generation for Large Language Models,l_default,True,1327,17,138.2,14,14585,3306,7,4,2,3,0,17,17,60,92,0,0
Retrieval-Augmented Generation for Large Language Models,r_pass,True,844,9,98.8,10,7774,2174,7,2,1,2,0,9,9,60,9,0,0
Retrieval-Augmented Generation for Large Language Models,o_rank_slab,True,851,12,44.3,3,2923,1367,3,2,1,2,0,12,12,60,15,0,0
Retrieval-Augmented Generation for Large Language Models,no_recursion,True,812,12,85.5,9,8905,2100,5,2,1,2,0,12,12,60,60,0,0
